# Karty platnicze wydane do rachunkow z katalogu
# stan_na=2026-09-01
# liczba_kart=40
# UWAGA: dane syntetyczne. Numery kart sa maskowane, nie przechodza walidacji Luhna
# i nie odpowiadaja zadnej istniejacej karcie. Imiona i nazwiska sa zmyslone.
id_karty;nr_rachunku;numer_maskowany;typ;status;limit_dzienny;waluta;wazna_do;posiadacz
KP-0001;89000048016279458747470461;4710 **** **** 5034;DEBETOWA;AKTYWNA;15000.00;PLN;2027-02;Marek Kotlarek
KP-0002;89000048016279458747470461;4010 **** **** 4623;DEBETOWA;AKTYWNA;25000.00;PLN;2028-01;Barbara Rembowski
KP-0003;89000048016279458747470461;4918 **** **** 1011;KREDYTOWA;ZASTRZEZONA;25000.00;PLN;2028-06;Sebastian Trzaska
KP-0004;97000041420766781110573017;4176 **** **** 7033;DEBETOWA;AKTYWNA;15000.00;PLN;2027-12;Piotr Miedzianka
KP-0005;92000020903497063318316444;4444 **** **** 4919;DEBETOWA;AKTYWNA;50000.00;PLN;2028-10;Sebastian Kwiatoniowa
KP-0006;75000029180296838917099750;4959 **** **** 1536;DEBETOWA;WYGASLA;5000.00;PLN;2026-04;Krzysztof Zarembina
KP-0007;75000029180296838917099750;4998 **** **** 7751;DEBETOWA;AKTYWNA;25000.00;PLN;2027-07;Piotr Kwiatoniowa
KP-0008;50000052964320234588417028;4230 **** **** 9601;KREDYTOWA;AKTYWNA;10000.00;PLN;2027-09;Joanna Sowinski
KP-0009;63000014422604270410931945;4036 **** **** 1918;DEBETOWA;AKTYWNA;50000.00;PLN;2028-12;Sebastian Dobrzanski
KP-0010;97000037896883553906954094;4923 **** **** 8078;DEBETOWA;ZASTRZEZONA;25000.00;PLN;2027-11;Karolina Dobrzanski
KP-0011;38000010313748484247483754;4912 **** **** 7856;DEBETOWA;AKTYWNA;5000.00;PLN;2027-06;Sebastian Kotlarek
KP-0012;38000010313748484247483754;4253 **** **** 4315;DEBETOWA;ZASTRZEZONA;10000.00;PLN;2029-04;Grzegorz Wilczur
KP-0013;40000059668051599065577496;4136 **** **** 1292;DEBETOWA;WYGASLA;5000.00;PLN;2026-04;Monika Berent
KP-0014;40000059668051599065577496;4806 **** **** 1435;DEBETOWA;AKTYWNA;15000.00;PLN;2027-08;Agnieszka Jaskolka
KP-0015;43000041138574671909897331;4635 **** **** 8583;KREDYTOWA;WYGASLA;50000.00;PLN;2026-04;Magdalena Grabarczyk
