# Przelewy zaplanowane i zlecenia stale
# stan_na=2026-09-01
# liczba_zlecen=37
# UWAGA: dane syntetyczne. Odbiorcy, kwoty i tytuly sa zmyslone.
id_zlecenia;nr_rachunku;kwota;waluta;data_wykonania;cykl;odbiorca;tytul;status
ZL-2026-0001;89000048016279458747470461;1879.44;PLN;2026-09-27;MIESIECZNY;Bursztynowa-Technika S.A.;Abonament telekomunikacyjny 09/2026;OCZEKUJACY
ZL-2026-0002;89000048016279458747470461;78657.65;PLN;2026-09-05;JEDNORAZOWY;Wydma-Montaz sp.k.;Zaplata za dostawe 09/2026;ANULOWANY
ZL-2026-0003;97000041420766781110573017;18462.54;PLN;2026-09-07;MIESIECZNY;Zaklad Ubezpieczen Spolecznych;Skladka ZUS 09/2026;ANULOWANY
ZL-2026-0004;97000041420766781110573017;2603.41;PLN;2026-09-18;JEDNORAZOWY;Kaskada-Zaopatrzenie sp. z o.o.;Faktura za uslugi ksiegowe 09/2026;WSTRZYMANY
ZL-2026-0005;92000020903497063318316444;145502.53;PLN;2026-09-08;JEDNORAZOWY;Wydma-Montaz sp.k.;Zaplata za dostawe 09/2026;OCZEKUJACY
ZL-2026-0006;92000020903497063318316444;21478.86;PLN;2026-09-15;MIESIECZNY;Bursztynowa-Technika S.A.;Czynsz za lokal uzytkowy 09/2026;OCZEKUJACY
ZL-2026-0007;75000029180296838917099750;19555.23;PLN;2026-10-10;MIESIECZNY;Zaklad Ubezpieczen Spolecznych;Skladka ZUS 10/2026;OCZEKUJACY
ZL-2026-0008;75000029180296838917099750;548.28;PLN;2026-10-08;MIESIECZNY;Bursztynowa-Technika S.A.;Abonament telekomunikacyjny 10/2026;OCZEKUJACY
ZL-2026-0009;50000052964320234588417028;503.63;PLN;2026-10-23;MIESIECZNY;Zenit-Dystrybucja sp. z o.o.;Abonament telekomunikacyjny 10/2026;OCZEKUJACY
ZL-2026-0010;50000052964320234588417028;547.73;PLN;2026-09-22;MIESIECZNY;Kaskada-Zaopatrzenie sp. z o.o.;Abonament telekomunikacyjny 09/2026;WSTRZYMANY
ZL-2026-0011;63000014422604270410931945;2464.60;PLN;2026-10-19;JEDNORAZOWY;Wydma-Montaz sp.k.;Faktura za uslugi ksiegowe 10/2026;WSTRZYMANY
ZL-2026-0012;63000014422604270410931945;3620.99;PLN;2026-09-24;MIESIECZNY;Zaklad Ubezpieczen Spolecznych;Skladka ZUS 09/2026;OCZEKUJACY
ZL-2026-0013;97000037896883553906954094;81157.62;PLN;2026-09-03;JEDNORAZOWY;Wydma-Montaz sp.k.;Zaplata za dostawe 09/2026;OCZEKUJACY
ZL-2026-0014;38000010313748484247483754;29621.10;PLN;2026-10-10;MIESIECZNY;Urzad Skarbowy;Zaliczka na podatek PIT-4 10/2026;OCZEKUJACY
ZL-2026-0015;40000059668051599065577496;546.27;PLN;2026-09-17;MIESIECZNY;Kaskada-Zaopatrzenie sp. z o.o.;Abonament telekomunikacyjny 09/2026;OCZEKUJACY
ZL-2026-0016;43000041138574671909897331;5628.55;PLN;2026-09-06;JEDNORAZOWY;Wydma-Montaz sp.k.;Zaplata za dostawe 09/2026;ANULOWANY
ZL-2026-0017;98000088845310787428793669;83079.01;PLN;2026-09-16;JEDNORAZOWY;Trawers-Handel S.A.;Zaplata za dostawe 09/2026;WSTRZYMANY
ZL-2026-0018;69000051621545367658586896;47390.47;PLN;2026-10-03;KWARTALNY;Zenit-Dystrybucja sp. z o.o.;Ubezpieczenie floty 10/2026;WSTRZYMANY
ZL-2026-0019;69000051621545367658586896;7566.78;PLN;2026-09-18;MIESIECZNY;Zaklad Ubezpieczen Spolecznych;Skladka ZUS 09/2026;OCZEKUJACY
ZL-2026-0020;16000043230730175891481509;18993.95;PLN;2026-09-03;KWARTALNY;Trawers-Handel S.A.;Ubezpieczenie floty 09/2026;WSTRZYMANY
ZL-2026-0021;35000080542818573625816461;30779.96;PLN;2026-10-14;MIESIECZNY;Zaklad Ubezpieczen Spolecznych;Skladka ZUS 10/2026;OCZEKUJACY
