# Katalog rachunkow - eksport z systemu centralnego
# stan_na=2026-09-01
# liczba_rachunkow=24
# UWAGA: dane syntetyczne. Numery rachunkow sa fikcyjne, nazwy firm nie istnieja.
nr_rachunku;nazwa_klienta;segment;produkt;waluta;oddzial;data_otwarcia;status
89000048016279458747470461;Wierzbowa-Logistyka S.A.;MSP;WALUTOWY;PLN;480;2024-01-28;AKTYWNY
97000041420766781110573017;Okno-Instalacje sp. z o.o.;MSP;BIEZACY;PLN;414;2019-12-11;AKTYWNY
92000020903497063318316444;Krokwia-Serwis sp.k.;MSP;OSZCZEDNOSCIOWE;PLN;209;2023-02-13;AKTYWNY
75000029180296838917099750;Trawers-Handel sp. z o.o.;MIKRO;BIEZACY;PLN;291;2024-11-17;AKTYWNY
50000052964320234588417028;Sosnowa-Montaz sp. z o.o.;MSP;OSZCZEDNOSCIOWE;PLN;529;2021-09-23;AKTYWNY
63000014422604270410931945;Trawers-Zaopatrzenie S.A.;MSP;BIEZACY;PLN;144;2024-10-14;AKTYWNY
97000037896883553906954094;Wrzosowa-Produkcja S.A.;MIKRO;WALUTOWY;PLN;000;2021-12-18;AKTYWNY
40000079307414474550865224;Trawers-Wykonstwo sp. z o.o.;KORPORACJA;WALUTOWY;PLN;793;2019-10-24;ZABLOKOWANY
38000010313748484247483754;Modrzewiowa-Dystrybucja sp. z o.o.;KORPORACJA;OSZCZEDNOSCIOWE;PLN;103;2022-06-13;AKTYWNY
40000059668051599065577496;Okno-Budownictwo sp. z o.o.;KORPORACJA;BIEZACY;PLN;596;2024-04-23;AKTYWNY
43000041138574671909897331;Wrzosowa-Technika sp. z o.o.;MSP;BIEZACY;PLN;411;2023-01-20;AKTYWNY
98000088845310787428793669;Wydma-Produkcja S.A.;MSP;POWIERNICZY;PLN;888;2019-01-06;AKTYWNY
69000051621545367658586896;Krokwia-Budownictwo sp. z o.o.;MSP;BIEZACY;PLN;516;2019-08-25;AKTYWNY
16000043230730175891481509;Rubin-Handel S.A.;MSP;BIEZACY;PLN;204;2019-03-04;AKTYWNY
35000080542818573625816461;Zenit-Instalacje sp. z o.o.;MIKRO;BIEZACY;PLN;207;2020-07-09;AKTYWNY
57000070232347884187625369;Lipowa-Logistyka S.A.;KORPORACJA;BIEZACY;PLN;702;2018-12-26;AKTYWNY
67000055626925155200330652;Delfin-Wykonstwo S.A.;MSP;WALUTOWY;PLN;000;2018-12-18;AKTYWNY
27000091286200793830739251;Krokwia-Produkcja sp. z o.o.;MSP;WALUTOWY;PLN;912;2024-10-18;AKTYWNY
66000066932411803192144183;Zorza-Montaz sp. z o.o.;KORPORACJA;BIEZACY;PLN;669;2023-02-15;AKTYWNY
62000051639301707257277904;Delfin-Wykonstwo sp. z o.o.;MSP;BIEZACY;PLN;000;2019-11-18;AKTYWNY
20000091044502886876731968;Przystan-Zaopatrzenie sp.k.;KORPORACJA;OSZCZEDNOSCIOWE;PLN;910;2023-02-09;AKTYWNY
20000089180903978540630428;Okno-Montaz sp. z o.o.;MSP;BIEZACY;PLN;118;2019-09-10;AKTYWNY
28000012357658272743178349;Trawers-Dystrybucja sp. z o.o.;MSP;WALUTOWY;PLN;133;2018-12-19;AKTYWNY
37000079574587053457171349;Wrzosowa-Montaz sp. z o.o.;MSP;OSZCZEDNOSCIOWE;PLN;795;2024-03-24;AKTYWNY
