# Wyciag bankowy - eksport z systemu transakcyjnego
# okres=2026-08-01..2026-08-31
# liczba_operacji=400
# suma_kontrolna_grosze=1322594456
# UWAGA: dane syntetyczne. Numery rachunkow sa fikcyjne i nie naleza do zadnego banku.
id;nr_rachunku;kwota;waluta;typ;data_ksiegowania;data_waluty;tytul
OP-2026-08-0001;89000048016279458747470461;48714.85;PLN;WN;2026-08-03T06:16:55;2026-08-03;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0002;97000041420766781110573017;1108.79;PLN;MA;2026-08-08T08:01:07;2026-08-09;Rozliczenie prowizji 08/2026
OP-2026-08-0003;92000020903497063318316444;244515.80;PLN;WN;2026-08-27T06:02:42;2026-08-27;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0004;75000029180296838917099750;5053.05;PLN;MA;2026-08-31T15:52:56;2026-08-31;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0005;50000052964320234588417028;7112.44;PLN;MA;2026-08-21T19:20:49;2026-08-22;Zapłata za fakturę nr 0276/2026 - usługi księgowe
OP-2026-08-0006;75000029180296838917099750;19646.74;PLN;WN;2026-08-30T07:30:04;2026-08-30;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0007;97000041420766781110573017;832.04;PLN;MA;2026-08-27T19:00:10;2026-08-28;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0008;92000020903497063318316444;12783.53;PLN;WN;2026-08-29T11:51:35;2026-08-29;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0009;63000014422604270410931945;10641.92;PLN;MA;2026-08-25T06:55:33;2026-08-25;Zapłata za fakturę FV/2026/08/0930 - Przedsiębiorstwo Wodociągów Żółtańce
OP-2026-08-0010;50000052964320234588417028;910.93;PLN;MA;2026-08-31T15:30:10;2026-08-31;Przelew przychodzący od Agencja Ochrony STRAŻNIK
OP-2026-08-0011;97000037896883553906954094;14263.99;USD;WN;2026-08-19T12:42:48;2026-08-19;Przelew za fakturę FV/2026/08/0960 - Serwis Klimatyzacji CHŁÓD-SERWIS
OP-2026-08-0012;40000079307414474550865224;4333.04;PLN;MA;2026-08-16T20:57:10;2026-08-16;Rozliczenie prowizji 08/2026
OP-2026-08-0013;97000037896883553906954094;106103.17;PLN;MA;2026-08-13T09:49:13;2026-08-14;Zapłata za fakturę FV/2026/08/0231 - Biuro Rachunkowe SALDO
OP-2026-08-0014;38000010313748484247483754;4816.96;PLN;MA;2026-08-11T08:02:32;2026-08-11;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0015;40000059668051599065577496;1007.78;PLN;WN;2026-08-11T11:40:59;2026-08-11;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0016;43000041138574671909897331;11.65;PLN;WN;2026-08-14T07:54:48;2026-08-14;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0017;92000020903497063318316444;739.87;PLN;MA;2026-08-20T14:54:52;2026-08-20;Zapłata za fakturę nr 0887/2026 - usługi księgowe
OP-2026-08-0018;97000041420766781110573017;4573.64;EUR;WN;2026-08-19T20:37:30;2026-08-19;Rata kredytu obrotowego nr 0854/2026
OP-2026-08-0019;98000088845310787428793669;1760.19;PLN;MA;2026-08-03T15:57:16;2026-08-03;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0020;69000051621545367658586896;194528.17;PLN;WN;2026-08-30T06:24:23;2026-08-30;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0021;38000010313748484247483754;243841.69;PLN;WN;2026-08-31T14:11:54;2026-08-31;Rata kredytu obrotowego nr 0700/2026
OP-2026-08-0022;16000043230730175891481509;6487.34;EUR;WN;2026-08-12T12:49:44;2026-08-12;Płatność kartą - PIEKARNIA U JĘDRZEJA
OP-2026-08-0023;35000080542818573625816461;1275.15;PLN;WN;2026-08-18T13:29:26;2026-08-18;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0024;40000079307414474550865224;3826.19;PLN;WN;2026-08-10T07:23:30;2026-08-10;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0025;38000010313748484247483754;38624.86;PLN;WN;2026-08-01T11:56:23;2026-08-01;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0026;57000070232347884187625369;1469.85;PLN;MA;2026-08-06T17:33:20;2026-08-07;Wpłata gotówkowa - wpłatomat nr 0549
OP-2026-08-0027;57000070232347884187625369;44239.44;PLN;WN;2026-08-12T08:56:26;2026-08-13;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0028;69000051621545367658586896;610.00;PLN;WN;2026-08-24T12:27:42;2026-08-24;Rata kredytu obrotowego nr 0100/2026
OP-2026-08-0029;75000029180296838917099750;239737.09;PLN;WN;2026-08-31T07:39:14;2026-08-31;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0030;97000041420766781110573017;1201.85;PLN;MA;2026-08-24T16:28:45;2026-08-24;Rozliczenie prowizji 08/2026
OP-2026-08-0031;67000055626925155200330652;98816.70;PLN;WN;2026-08-06T18:08:58;2026-08-06;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0032;27000091286200793830739251;96062.96;PLN;WN;2026-08-01T15:35:03;2026-08-01;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0033;40000059668051599065577496;12153.63;PLN;MA;2026-08-06T18:51:23;2026-08-07;Przelew przychodzący od DRUKARNIA CYFROWA GRAFPOL
OP-2026-08-0034;38000010313748484247483754;43074.91;PLN;MA;2026-08-12T11:52:55;2026-08-12;Przelew przychodzący od TRANSPORT MIĘDZYNARODOWY KOWALCZYK
OP-2026-08-0035;89000048016279458747470461;687.80;PLN;MA;2026-08-27T16:41:17;2026-08-28;Wpłata gotówkowa - wpłatomat nr 0180
OP-2026-08-0036;67000055626925155200330652;11427.71;PLN;MA;2026-08-29T08:07:58;2026-08-30;Wpływ z tytułu umowy najmu lokalu nr 0879
OP-2026-08-0037;69000051621545367658586896;13069.75;PLN;WN;2026-08-06T17:25:43;2026-08-06;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0038;38000010313748484247483754;216673.16;PLN;WN;2026-08-17T17:22:57;2026-08-18;Płatność kartą - Hurtownia Elektryczna ŚWIATŁO-MAX
OP-2026-08-0039;67000055626925155200330652;43352.72;PLN;WN;2026-08-08T20:33:07;2026-08-09;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0040;66000066932411803192144183;1304.54;PLN;WN;2026-08-05T17:41:44;2026-08-05;Rata kredytu obrotowego nr 0965/2026
OP-2026-08-0041;57000070232347884187625369;456.51;PLN;MA;2026-08-21T18:59:23;2026-08-21;Przelew przychodzący od TRANSPORT MIĘDZYNARODOWY KOWALCZYK
OP-2026-08-0042;40000079307414474550865224;7450.50;PLN;WN;2026-08-27T18:37:48;2026-08-27;Przelew własny - zasilenie rachunku pomocniczego
