# Wyciag bankowy - probka do testow importu
# okres=2026-08-03..2026-08-07
# liczba_operacji=23
# suma_kontrolna_grosze=16025499
id;nr_rachunku;kwota;waluta;typ;data_ksiegowania;data_waluty;tytul
OP-2026-08-P01;42000011870000452317094432;1 234,56;PLN;MA;2026-08-03T09:12:41;2026-08-03;Zapłata za fakturę FV/2026/08/0031 - Hurtownia Śrub ŁĄCZNIK
OP-2026-08-P02;42000011870000452317094432;5300.00;PLN;WN;2026-08-03T11:04:00;2026-08-03;Wynagrodzenie za lipiec 2026 - lista płac nr 0007
OP-2026-08-P03;33000047220981145503762018;840,25;PLN;WN;03.08.2026 14:05;03.08.2026;Składka ZUS 07/2026 - ubezpieczenie społeczne
OP-2026-08-P04;33000047220981145503762018;74.90;PLN;WN;2026-08-04T08:30;2026-08-04;Płatność kartą - PIEKARNIA U JĘDRZEJA
OP-2026-08-P05;71000023090044780012345611;12 000,00;PLN;MA;04.08.2026;04.08.2026;Wpływ z tytułu umowy najmu lokalu nr 12
OP-2026-08-P06;71000023090044780012345611;-450,00;PLN;MA;2026-08-04T16:41:09;2026-08-05;Opłata za przelew zagraniczny SEPA
OP-2026-08-P07;58000068410730992284001157;2 450,00;PLN;WN;2026-08-05T07:55:12;2026-08-05;Czynsz za sierpień - lokal przy ul. Żwirki i Wigury 14
OP-2026-08-P08;58000068410730992284001157;318,00;PLN;WN;05.08.2026 09:17;05.08.2026;Zakup materiałów biurowych - ŚWIAT PAPIERU
OP-2026-08-P09;19000055020118346670920043;9 876,00;PLN;UZNANIE;2026-08-05T10:02:33;2026-08-06;Zwrot zabezpieczenia należytego wykonania umowy
OP-2026-08-P10;19000055020118346670920043;1250.00;EUR;WN;2026-08-05T12:20:00;2026-08-07;Przelew SEPA - Bürolandschaft GmbH, faktura 2026/312
OP-2026-08-P11;42000011870000452317094432;3 199,99;PLN;WN;2026-08-05T15:48:02;2026-08-05;Faktura za energię elektryczną 08/2026

OP-2026-08-P12;42000011870000452317094432;627,40;PLN;MA;06.08.2026 08:03;06.08.2026;Rozliczenie prowizji 07/2026
OP-2026-08-P13;33000047220981145503762018;-1 280,40;PLN;MA;2026-08-06T09:44:51;2026-08-06;Rata kredytu obrotowego nr 0047/2026
OP-2026-08-P14;33000047220981145503762018; 430.00 ; USD ; WN ;2026-08-06T10:11:00;2026-08-10;Prowizja za obsługę rachunku walutowego
OP-2026-08-P15;71000023090044780012345611;512,00;PLN;WN;2026-08-06T13:22:10
OP-2026-08-P16;71000023090044780012345611;88 400,00;PLN;MA;2026-08-06T14:59:37;06.08.2026;Zapłata za fakturę 2026/0448 - GASTRO-ŁĄCZNIK SP. J.
OP-2026-08-P17;58000068410730992284001157;149,99;PLN;WN;2026-08-07T07:12:05;2026-08-07;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-P18;58000068410730992284001157;4 050,00;PLN;WN;07.08.2026 09:30;07.08.2026;Zaliczka na podatek PIT-4 za 07/2026
OP-2026-08-P19;19000055020118346670920043;61,50;PLN;MA;2026-08-07T10:18:44;2026-08-07;Odsetki od lokaty terminowej nr 4471
OP-2026-08-P20;19000055020118346670920043;2 000,00;PLN;WN;2026-08-07T11:02:19;2026-08-07;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-P21;42000011870000452317094432;1 507,00;PLN;WN;2026-08-07T12:40:00;2026-08-07;Opłata sądowa - sygn. akt IX GC 442/26
OP-2026-08-P22;33000047220981145503762018;760,00;PLN;WN;2026-08-07T13:05:27;2026-08-07;Refundacja kosztów szkolenia - Ł. DĄBROWSKI
OP-2026-08-P23;71000023090044780012345611;23 900,00;PLN;MA;2026-08-07T15:33:58;10.08.2026;Wpłata gotówkowa - wpłatomat nr 0114
OP-2026-08-P24;58000068410730992284001157;95,00;PLN;WN;2026-08-07T16:00:00;2026-08-07;Opłata za prowadzenie rachunku bieżącego
